timestamp,userPrincipalName,ipAddress,city,country,appDisplayName,status,authenticationRequirement,clientAppUsed,riskLevel,failureReason,scenario
2026-09-18 09:01:00,anmol@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Office 365,Success,multiFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:03:00,admin@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Office 365,Success,multiFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:04:00,priya@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Office 365,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 09:05:00,priya@contoso.onmicrosoft.com,49.205.50.10,Bengaluru,India,Outlook,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 09:14:00,admin@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Office 365,Success,multiFactorAuthentication,Browser,none,,normal
2026-09-18 09:22:00,admin@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Microsoft Teams,Success,multiFactorAuthentication,Browser,none,,normal
2026-09-18 09:30:00,rahul@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Microsoft Teams,Success,multiFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:35:00,anmol@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Outlook,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 09:35:00,rahul@contoso.onmicrosoft.com,49.205.50.10,Bengaluru,India,Outlook,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 09:36:00,anmol@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Outlook,Success,singleFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:39:00,priya@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Outlook,Success,multiFactorAuthentication,Browser,none,,normal
2026-09-18 09:41:00,priya@contoso.onmicrosoft.com,49.205.50.10,Bengaluru,India,Microsoft Teams,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 09:47:00,anmol@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Microsoft Teams,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 09:49:00,anmol@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Office 365,Success,multiFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:52:00,rahul@contoso.onmicrosoft.com,49.205.50.10,Bengaluru,India,Office 365,Success,multiFactorAuthentication,Browser,none,,normal
2026-09-18 09:52:00,rahul@contoso.onmicrosoft.com,49.205.50.10,Bengaluru,India,Outlook,Success,singleFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:54:00,admin@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Office 365,Success,multiFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 09:57:00,admin@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Office 365,Success,multiFactorAuthentication,Browser,none,,normal
2026-09-18 09:59:00,rahul@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Microsoft Teams,Success,singleFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 10:00:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:01:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:02:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:03:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:04:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:05:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:06:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:07:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:08:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:09:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:10:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:11:00,rahul@contoso.onmicrosoft.com,185.220.101.44,Amsterdam,Netherlands,Office 365,Failure,multiFactorAuthentication,Browser,medium,Invalid username or password,brute_force
2026-09-18 10:15:00,admin@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Outlook,Success,singleFactorAuthentication,Browser,none,,normal
2026-09-18 10:18:00,anmol@contoso.onmicrosoft.com,103.120.10.15,Pune,India,Outlook,Success,singleFactorAuthentication,Mobile Apps and Desktop clients,none,,normal
2026-09-18 10:19:00,priya@contoso.onmicrosoft.com,103.120.11.20,Mumbai,India,Microsoft Teams,Success,multiFactorAuthentication,Browser,none,,normal
