Severity,Detection,User,IP,Details
High,Brute Force,rahul@contoso.onmicrosoft.com,,12 failed login attempts
High,Brute Force,priya@contoso.onmicrosoft.com,,8 failed login attempts
High,Suspicious IP,"anmol@contoso.onmicrosoft.com, priya@contoso.onmicrosoft.com, rahul@contoso.onmicrosoft.com, admin@contoso.onmicrosoft.com",103.120.10.15,Targeted 4 different users
High,Suspicious IP,"admin@contoso.onmicrosoft.com, anmol@contoso.onmicrosoft.com, priya@contoso.onmicrosoft.com, rahul@contoso.onmicrosoft.com",103.120.11.20,Targeted 4 different users
High,Suspicious IP,"priya@contoso.onmicrosoft.com, rahul@contoso.onmicrosoft.com, admin@contoso.onmicrosoft.com, anmol@contoso.onmicrosoft.com",49.205.50.10,Targeted 4 different users
High,Suspicious OAuth,anmol@contoso.onmicrosoft.com,91.198.174.10,Unknown OAuth Application
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
Medium,MFA Failure,priya@contoso.onmicrosoft.com,51.89.22.71,MFA challenge denied
